question,stu_answer,grade
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبرائيل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,أسم  الملك الذي جاء بالوحي هو جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,الملك الدي جاء بالوحي هو جبريل .,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,سيدنا جبريل ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم هو جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,الملك جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,سيدنا جبريل ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,اسمه جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه سلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟, ‏اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم هو جبريل عليه السلام .,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,جبريل,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,اقرا باسم ربك الذي خلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,أول ما نزل من القرآن الكريم على سيدنا محمد صلى الله عليه وسلم هو إقرأ باسم ربك الذي خلق سورة العلق ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,علق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سور العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,أول ما نزل من القرآن الكريم على سيدنا محمد ص اقرأ باسم ربك الذي خلق ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,إقرأ  سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,إقرأ سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,ا,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,اقرا,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة القلم,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة الاعلى,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,إقرأ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة إقرأ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,إقراء,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,jibril,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,أول آية  نزلت  من  القرآن على رسول  الله صلى الله عليه وسلم هي: إقرأ باسم  ربك  الذي  خلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,(سورة العلق) اقرا باسم ربك الذي خلق ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,(سوره العلق) اقرا باسم ربك الذي خلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,اقرأ ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة القلم,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,إقرأ سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,اقرأ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة القلم,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة إقرأ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق (إقرأ باسم ربك الذي خلق ...),0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟, اقرأ باسم ربك الذي خلق ، خلق الإنسان من علق.,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سوره العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سوره العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,أول ما نزل هي اقرا,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,اقرأ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة اقرأ : { اقرأ،اقرأ،اقرأ باسم ربك الذى خلق}.,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة الاعلى,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,اقرا باسم ربك الذي خلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,القلم,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,"إقرأ بإسم ربك الذي خلق خلق الإنسان من علق

سورة العلق ",0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,"سورة العلق
",0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق. ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,اقرء,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,اقرا اقرا      سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة إقرأ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟, أول ما نزل من القرآن الكريم على الرسول صلى الله عيله و سلم  سورة العلق   ( اقرا  ) ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة الفلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,أول ما نزل من القرآن الكريم على سيدنا محمد صلى الله عليه وسلم هي سورة إقرأ ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,أول ما نزل من القرآن الكريم على سيدنا محمد صلى الله عليه وسلم هي سورة القلم (إقرأ),0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة اقرأ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,إقرأ سورة القلم ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,إقرأ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,سورة العلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,اول ما نزل من القرآن الكريم على الرسول صلى الله عليه وسلم هو:(اقرأ باسم ربك الذي خلق خلق الانسان من علق اقرأ وربك الأكرم الذي علم بالقلم علم الإنسان ما لا يعلم).,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,إقرأ,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,{اقرا باسم ربك الدي خلق},0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,اقرا بسم ربك الذي خلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟," ‏أول ما نزل من القرآن الكريم على سيدنا محمد صلى الله عليه وسلم هي الاية : ""اقرأ بسمي ربك الذي خلق"" .",0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,إقرأ بإسم ربك ااذي خلق,0
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,إقرأ بإسم ربك الذي خلق,0
كيف كانت دعوة الرسول في البداية ؟,سير,0
كيف كانت دعوة الرسول في البداية ؟,جهرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت الدعوة سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت سرا ,0
كيف كانت دعوة الرسول في البداية ؟,كانت دعوة الرسول صلى الله عليه وسلم في البداية سرية دامت 3 سنوات ,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت دعوة الرسول في البداية سرية.,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,ن,0
كيف كانت دعوة الرسول في البداية ؟,سرية ,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت دعوة الرسول صلى الله عليه وسلم في البداية  سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,دعوة سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت الدعوة السرية ,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت الدعوة سراً,0
كيف كانت دعوة الرسول في البداية ؟,سرا,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,siriya,0
كيف كانت دعوة الرسول في البداية ؟,كانت دعوة الرسول في البداية سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرا,0
كيف كانت دعوة الرسول في البداية ؟,سرا,0
كيف كانت دعوة الرسول في البداية ؟,سرا,0
كيف كانت دعوة الرسول في البداية ؟,كانت دعوة الرسول في البداية سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت دعوة سرية,0
كيف كانت دعوة الرسول في البداية ؟,بمكة وكانت سرية ,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت دعوة سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرا,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟, كانت سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرا .,0
كيف كانت دعوة الرسول في البداية ؟,كانت سريه,0
كيف كانت دعوة الرسول في البداية ؟,"كانت الدعوة سرية
",0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,سريه,0
كيف كانت دعوة الرسول في البداية ؟,كانت دعوة سرية ,0
كيف كانت دعوة الرسول في البداية ؟,سيرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت في البداية سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت الدعوة في البداية سرية .,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,سيرة ,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت دعوة الرسول صلى الله عليه وسلم في البداية سرية. ,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,,0
كيف كانت دعوة الرسول في البداية ؟,تعرض صلى الله عليه وسلم للأذى و المكاره,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت الدعوة سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت الدعوة في البداية  سرية .,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت دعوة الرسول في البداية السرية. ,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت دعوة الرسول في البداية سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت في البداية دعوة سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت الدعوة السرية ,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,كانت سرية,0
كيف كانت دعوة الرسول في البداية ؟,,0
كيف كانت دعوة الرسول في البداية ؟,كانت دعوة الرسول صلى الله عليه وسلم في البداية سرا.,0
كيف كانت دعوة الرسول في البداية ؟,سرية ,0
كيف كانت دعوة الرسول في البداية ؟,سريه,0
كيف كانت دعوة الرسول في البداية ؟,كانت دعوته سرية,0
كيف كانت دعوة الرسول في البداية ؟, ‏كانت دعوة الرسول في البداية دعوة السرية .,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كيف كانت دعوة الرسول في البداية ؟,سرية,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟, ٣ سنوات تميز بتجميع مسلمين,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,3سنين تميزت بالجهر,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,دامت 13 سنة و تميزت بصبر الرسول على أذي المكذبين,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,3 سنوات,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,"دامت ثلاث سنوات وتميزت بالإقتصار على دعوة الأقارب فقط  قال تعالى :"" و أنذر عشيرتك اﻷقربين "" صدق الله العظيم   ",0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,دامت الدعوة في مكة 13سنة تميزت بصبر الرسول صلى الله عليه وسلم على أذى المشركين ,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,دامت ثلاثة سنوات ,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,13سنة. كما  تميزت بالصبر,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,دامت ثلاثة عشرة سنة وتميزت بجرأة الرسولص بتبليغه الدعوة  رغم ما لقي من الأذى والمكاره.,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,ثلاثة سنين الصبر,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,ثلاثة سنين الصبر,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,ز,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,ثلاث سنوات في مكة / أسلم فيها عدد من الصحابة رضي الله عنهم وزوجة الرسول صلى الله عليه وسلم، خديجة بنت خويلد رضي الله عنها,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,١٣سنة,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,ثلات سنوات,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,دامت ثلاثة سنوات ومتميزة بأن الرسول صلى الله عليه وسلم قم بدعوة القريبين من قلبه,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,دامت الدعوة السرية 3 سنوات و تميزت بإنذار العشيرة الأقربين,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,دامت الدعوة السرية ثلاث سنين ، تميزت حيث دعا رسول الله فيها اهله و من توسم فيهم خيرا,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,تلات سنين,0
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,ثلاث سنوات ,0
